## Torsion are defined with the following atomIDs:
# dihed1: ai= 11 aj= 9 ak= 8 al= 5
# dihed2: ai= 9 aj= 8 ak= 5 al= 4
# dihed3: ai= 8 aj= 5 ak= 4 al= 2
# dihed4: ai= 8 aj= 5 ak= 6 al= 31
# dihed5: ai= 5 aj= 4 ak= 2 al= 1
# dihed6: ai= 5 aj= 6 ak= 31 al= 32
# dihed7: ai= 6 aj= 31 ak= 32 al= 35
# dihed8: ai= 35 aj= 32 ak= 33 al= 45
# dihed9: ai= 31 aj= 32 ak= 35 al= 36
# dihed10: ai= 32 aj= 35 ak= 36 al= 38
# dihed11: ai= 35 aj= 36 ak= 38 al= 43
# dihed12: ai= 32 aj= 33 ak= 45 al= 46
# dihed13: ai= 33 aj= 45 ak= 46 al= 49
# dihed14: ai= 49 aj= 46 ak= 47 al= 69
# dihed15: ai= 45 aj= 46 ak= 49 al= 50
# dihed16: ai= 46 aj= 49 ak= 50 al= 52
# dihed17: ai= 46 aj= 47 ak= 69 al= 70
# dihed18: ai= 47 aj= 69 ak= 70 al= 73
# dihed19: ai= 69 aj= 70 ak= 71 al= 80
# dihed20: ai= 69 aj= 70 ak= 73 al= 74
# dihed21: ai= 70 aj= 73 ak= 74 al= 79
# dihed22: ai= 70 aj= 71 ak= 80 al= 81
# dihed23: ai= 71 aj= 80 ak= 81 al= 84
# dihed24: ai= 84 aj= 81 ak= 82 al= 102
# dihed25: ai= 80 aj= 81 ak= 84 al= 85
# dihed26: ai= 81 aj= 84 ak= 85 al= 86
# dihed27: ai= 84 aj= 85 ak= 86 al= 87
# dihed28: ai= 85 aj= 86 ak= 87 al= 88
# dihed29: ai= 81 aj= 82 ak= 102 al= 103
# dihed30: ai= 82 aj= 102 ak= 103 al= 106
# dihed31: ai= 102 aj= 103 ak= 104 al= 113
# dihed32: ai= 102 aj= 103 ak= 106 al= 107
# dihed33: ai= 103 aj= 106 ak= 107 al= 112
# dihed34: ai= 103 aj= 104 ak= 113 al= 114
# dihed35: ai= 104 aj= 113 ak= 114 al= 117
# dihed36: ai= 117 aj= 114 ak= 115 al= 124
# dihed37: ai= 113 aj= 114 ak= 117 al= 118
# dihed38: ai= 114 aj= 115 ak= 124 al= 125
# dihed39: ai= 114 aj= 117 ak= 118 al= 120
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18  dihed19  dihed20  dihed21  dihed22  dihed23  dihed24  dihed25  dihed26  dihed27  dihed28  dihed29  dihed30  dihed31  dihed32  dihed33  dihed34  dihed35  dihed36  dihed37  dihed38  dihed39
31 -124.554 -169.416 -179.971 -115.062 -174.964 -179.176   86.022  -91.753 -174.998 -141.561 -162.608  169.328  104.905 -164.466 -156.489   85.112  177.599  159.461  148.544 -144.061  120.601  177.053  169.928 -106.826 -148.309  164.985  153.105   71.215 -179.378  -40.632    3.872   83.319  -46.753 -173.092  108.858   62.686  -79.242  174.921   86.041
32  167.139 -170.298  178.618 -129.072 -177.275  176.615   98.390  -87.465 -169.562 -112.796 -168.106 -178.730   93.697 -139.228 -171.576   80.528 -174.632  147.889  141.438  169.916   75.529  178.990  173.793 -100.166 -167.263 -175.272  169.467   62.350 -174.700  -57.645   -2.630   50.680    0.804  167.454  130.713   79.255  -72.897  172.443  156.385
33  -91.380 -176.595  158.879 -105.259 -170.239  175.237   89.042 -123.873 -168.691   92.928 -176.145  165.496   95.236 -151.427 -168.253   84.624 -172.466  155.159  155.788 -173.094   64.680  168.580  165.594 -106.967 -168.555  175.814 -172.882   68.817 -169.572  -53.465  -11.410   77.548  -53.047 -179.050  129.046   88.537  -64.324 -174.860  103.558
34  -80.021 -163.287 -172.911 -114.246  170.833  171.092   77.094 -120.118 -172.014  116.681 -164.048 -178.056   77.584 -153.209 -155.323   82.488 -174.969  138.117  155.258 -173.255  177.166 -169.751  158.926 -102.718 -167.756 -176.719  156.344   69.741 -163.264  -62.452   -8.846   80.636  -61.740 -161.635  117.104  105.576  -65.583  160.096  106.688
35  -88.268 -164.977  115.216 -117.767 -171.692  169.578   98.618 -123.103 -166.429   83.321  178.751 -168.816   79.358 -133.075 -145.205   45.089  169.916  165.900  128.284  -64.951   60.174  174.385  172.933 -101.406 -173.376  164.182  157.839   54.961 -168.339  -65.008    2.358   64.183  -23.510 -172.194   95.855   84.190  -52.086 -163.159   86.076
36  -95.424 -167.116   92.622 -132.345  176.391 -177.957  157.937 -107.833 -170.750  108.551 -178.488  170.446   90.815 -140.947 -149.345   70.802  176.624  157.168  137.835  -61.205   49.441  179.795  177.962 -110.234 -167.455  164.911  161.803   82.365 -178.072  -45.297  -27.247   82.981  -75.769 -177.858  144.590   74.990  -60.481 -177.543   82.890
37 -152.388  175.359  144.659 -108.586 -176.514  170.375  160.373 -109.922 -168.404  -77.816 -170.926  170.029   75.503 -108.001 -152.630   64.919 -160.708   97.398  137.101 -165.840  102.569  179.347  179.415 -111.696 -175.006 -177.781 -165.825   54.649 -175.362  -53.118   -1.009   66.447  -40.557  166.182  138.421   90.832  -64.821  175.047   85.145
38   70.625 -161.256  153.197 -134.980  174.513  173.876  151.311 -114.640 -167.303   91.203  174.331 -164.976   73.108 -149.979 -145.439   86.006 -171.491  136.768  146.401 -166.709   43.369 -175.881  174.394 -105.411 -160.391 -150.672  176.320   55.019  177.007  -44.397    6.289   86.581  -57.887  179.432   91.765   97.996  -60.937  170.103   79.254
39  101.626 -177.680  150.297 -159.577  173.706 -173.323  151.182 -110.697 -169.596  -87.121 -176.380 -157.455   74.688 -173.371 -144.853   77.353 -175.331  167.616  141.395 -158.273   63.892  174.386  176.179  -91.718 -154.884 -175.381 -171.358   60.226 -167.981  -56.034  -11.842   90.684  -55.997  176.836  122.721   87.303  -65.172  168.614   93.477
40   78.359  165.897  165.454 -114.026  179.908  176.343  118.790 -118.678 -173.999  104.897  178.935  176.486   94.178  168.311 -152.859   81.794  166.053 -177.514  149.417 -162.402   66.877 -173.910  167.441 -114.993 -173.059  173.834  171.005   80.456 -172.271  -49.994    0.460   77.970  -37.472  171.074  112.653  104.665  -77.274 -175.256  100.894
