  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      387        4.423        7.195            0      863.548      775.521      500.310
      388        4.375        7.063            0      880.412      759.266      480.499
      389        4.570        6.919            0      890.197      823.778      497.120
      390        4.460        7.026            0      853.926      680.954      465.660
      391        4.345        7.003            0      855.745      658.955      474.574
      392        4.506        7.234            0      887.720      698.205      507.199
      393        4.378        7.332            0      871.526      763.212      476.930
      394        4.592        6.853            0      864.108      707.645      469.632
      395        4.595        6.917            1      876.277      719.186      460.946
      396        4.643        7.071            0      853.874      692.477      457.336
      397        4.558        7.215            0      871.410      783.703      484.193
      398        4.461        6.954            0      849.803      675.037      466.100
      399        4.423        6.759            0      843.159      690.562      456.745
      400        4.502        7.120            0      879.291      740.105      492.030
      401        4.720        7.266            0      860.725      709.332      443.815
      402        4.794        7.142            1      844.916      711.919      442.450
      403        4.855        7.534            0      882.845      777.253      488.296
      404        4.658        6.822            1      872.067      762.334      453.817
      405        4.844        7.093            0      862.709      688.462      461.786
      406        4.917        7.097            0      865.106      641.000      452.082
      407        4.729        7.641            0      892.229      746.432      503.367
      408        4.549        7.164            0      854.100      714.052      447.359
      409        4.588        6.852            0      838.199      708.450      417.766
      410        4.761        7.548            0      869.232      677.542      438.747
      411        4.781        7.724            0      866.670      771.587      458.688
      412        4.611        7.381            1      848.756      719.610      417.455
      413        4.834        7.244            0      840.081      692.423      425.894
      414        4.873        7.426            0      853.619      662.353      464.252
      415        4.825        7.168            1      838.159      695.598      442.372
      416        4.447        6.903            0      849.585      717.743      432.252
      417        4.951        6.930            0      832.603      713.487      432.007
      418        4.676        6.588            1      844.601      896.990      396.509
      419        4.713        6.776            1      826.185      885.906      444.519
      420        5.028        6.895            0      848.176      932.731      498.371
      421        4.783        6.868            0      862.871      937.989      456.403
      422        4.417        6.975            0      897.740      976.499      482.249
      423        4.520        6.885            0      863.254      825.573      488.869
      424        4.689        6.577            0      841.924      844.686      432.207
      425        4.700        6.799            0      853.145      962.622      490.714
      426        4.715        6.563            0      861.148      942.289      461.561
      427        4.605        6.439            0      818.148      794.895      458.802
      428        4.790        6.384            0      839.203      900.685      503.226
      429        4.710        6.477            0      799.645      687.549      478.040
      430        4.839        6.903            0      884.644      904.677      469.096
      431        4.847        6.900            2      836.038      764.259      473.234
      432        4.836        6.793            2      831.424      779.427      436.872
      433        4.376        6.953            1      846.710      774.790      449.561
      434        4.551        6.808            2      855.307      761.845      401.953
      435        4.817        6.993            2      829.499      729.482      402.545
      436        4.702        7.052            0      836.746      732.471      410.132
      437        4.927        7.261            0      877.421      874.737      436.819
      438        4.775        7.620            1      866.473      787.420      468.518
      439        4.720        7.808            1      880.509      765.062      464.077
      440        4.922        7.208            0      875.269      766.763      459.617
      441        4.974        7.261            0      866.294      762.941      483.376
      442        4.918        7.506            0      889.010      811.793      503.557
      443        4.691        6.860            0      861.641      803.035      451.075
      444        4.273        6.883            0      869.392      787.808      510.542
      445        4.302        7.539            0      886.130      870.857      522.773
      446        4.403        7.044            0      857.641      779.796      498.688
      447        4.389        7.404            0      868.494      748.283      507.068
      448        4.456        7.117            1      862.366      739.198      475.769
      449        4.090        7.184            0      862.874      810.000      506.163
      450        4.542        6.718            0      846.342      760.755      449.217
      451        4.935        7.030            0      870.445      812.951      506.922
      452        4.767        7.003            0      827.616      733.959      469.642
      453        4.980        7.031            0      847.232      790.480      497.498
      454        4.948        6.795            0      829.828      742.163      483.657
      455        4.811        7.207            1      878.036      809.141      480.916
      456        5.297        7.503            0      882.362      912.689      483.614
      457        4.571        7.766            0      892.517      985.675      489.757
      458        4.750        7.698            0      902.642      898.939      520.069
      459        4.524        7.550            0      906.308      874.607      512.023
      460        4.607        7.489            0      882.294      911.850      483.940
      461        4.372        7.641            0      874.578      771.856      483.867
      462        4.412        7.543            0      858.897      731.019      453.940
      463        4.422        7.645            0      884.669      798.966      500.634
      464        4.121        7.689            1      861.909      745.992      460.471
      465        4.211        7.359            0      862.081      763.515      456.496
      466        4.286        6.771            1      858.551      808.926      456.864
      467        4.627        7.237            0      892.287      738.083      444.256
      468        4.689        7.640            0      882.359      809.258      479.227
      469        4.759        7.480            0      881.562      761.383      479.320
      470        4.857        7.304            0      853.714      725.442      456.772
      471        4.853        7.481            0      882.360      705.184      474.193
      472        4.750        7.397            0      876.730      776.692      476.289
