  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      229        4.116        6.132            2      863.011     1048.482      382.276
      230        4.234        6.173            1      862.153      949.730      386.322
      231        3.873        6.098            3      837.173      893.481      344.402
      232        4.282        6.119            1      859.378      922.973      367.745
      233        4.097        6.002            2      842.295      890.209      369.843
      234        4.433        6.109            3      852.039      880.253      340.056
      235        4.171        6.127            3      859.820      954.338      352.048
      236        4.268        6.198            2      877.445      959.476      367.026
      237        4.352        6.083            4      880.710      978.636      364.293
      238        3.977        6.157            1      869.942      975.605      362.629
      239        4.257        6.149            2      874.563      981.545      353.325
      240        4.087        6.079            3      872.186      930.214      338.137
      241        4.338        6.177            3      852.232      908.745      354.700
      242        4.217        6.146            1      870.690      944.671      379.333
      243        4.117        6.085            3      848.620      912.528      375.722
      244        3.945        6.149            2      850.544      934.755      358.739
      245        4.195        6.258            2      893.276      983.131      381.638
      246        4.404        6.127            4      854.098      887.632      346.033
      247        4.308        6.171            2      865.649      900.197      391.086
      248        4.285        6.087            2      836.339      841.639      346.544
      249        4.675        6.087            1      848.481      874.387      357.609
      250        4.039        6.274            2      892.521      962.532      431.426
      251        4.524        6.315            1      894.179      969.502      416.391
      252        4.421        6.157            2      851.870      913.453      384.011
      253        4.042        6.194            1      903.890     1008.627      411.511
      254        3.971        6.182            2      896.934      973.288      426.485
      255        4.031        6.177            3      873.743      952.817      401.240
      256        4.081        6.219            1      875.502      884.891      405.555
      257        5.063        6.460            2      915.194      993.894      402.255
      258        4.889        6.278            1      915.979      940.820      395.748
      259        4.855        6.319            1      917.156      935.247      397.384
      260        4.343        6.300            2      880.874      798.737      357.712
      261        4.788        6.410            1      875.146      836.340      388.331
      262        4.635        6.332            2      860.883      937.372      379.916
      263        4.143        6.034            2      864.510      941.844      378.261
      264        4.423        6.329            0      880.053      958.203      365.724
      265        4.297        6.521            2      913.486     1001.679      382.069
      266        4.128        6.405            0      914.093      944.007      375.804
      267        4.437        6.329            1      909.628      928.333      395.238
      268        4.456        6.374            0      905.354      964.830      372.704
      269        4.777        6.306            4      877.083      923.468      335.530
      270        4.289        6.214            2      877.295      935.800      334.307
      271        4.613        6.329            2      899.591      936.616      368.299
      272        3.978        6.294            0      908.702      975.884      403.074
      273        4.269        6.491            2      919.812      976.138      385.445
      274        4.086        6.292            2      906.880      935.798      373.861
      275        4.362        6.539            1      918.168     1002.590      401.610
      276        4.410        6.516            2      883.191      950.216      377.817
      277        4.433        6.325            3      849.321      942.291      358.270
      278        4.499        6.447            1      880.370      991.179      394.491
      279        3.760        6.327            2      878.393      992.167      400.925
      280        4.120        6.404            1      921.061     1018.257      398.200
      281        4.118        6.450            2      908.958      994.502      410.012
      282        4.125        6.306            2      883.606      951.200      382.904
      283        4.006        6.403            2      896.079     1010.623      419.212
      284        4.745        6.500            3      891.416     1060.333      413.550
      285        4.437        6.457            1      899.537     1098.660      428.696
      286        4.301        6.371            4      875.422     1033.202      378.870
      287        4.107        6.469            3      898.516     1093.389      398.194
      288        4.106        6.534            1      914.545     1049.710      419.959
      289        4.263        6.433            2      922.088     1060.146      404.855
      290        4.436        6.305            1      887.348     1039.140      406.191
      291        4.626        6.442            2      907.324     1045.321      395.673
      292        4.535        6.244            3      881.195     1021.673      374.781
      293        4.370        6.287            2      878.842      991.364      402.878
      294        4.531        6.298            3      915.578     1109.104      373.327
      295        4.318        6.054            2      902.586     1095.518      387.076
      296        4.893        6.177            2      862.088      989.323      365.097
      297        4.920        6.129            2      887.777     1105.588      363.261
      298        4.048        6.648            1      960.076     1277.409      406.216
      299        5.049        6.385            2      909.264     1143.342      415.651
      300        4.617        6.184            1      907.352     1144.817      410.322
