  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      276        2.072        6.901            2      857.183      757.720      432.511
      277        2.192        6.803            1      865.581      827.608      428.435
      278        2.604        6.791            1      869.347      803.331      437.093
      279        2.072        6.746            1      858.366      766.652      436.075
      280        1.945        6.783            2      856.278      746.707      435.238
      281        2.096        6.878            2      861.128      752.459      439.642
      282        2.188        6.360            2      840.054      714.220      416.738
      283        2.178        6.556            1      859.650      728.733      426.241
      284        2.009        6.348            0      842.601      705.488      431.011
      285        2.166        6.667            2      845.963      740.212      431.768
      286        2.125        6.740            1      864.022      767.365      438.167
      287        2.158        7.029            2      862.364      768.900      443.387
      288        2.301        6.818            1      854.411      740.589      444.980
      289        2.537        6.908            2      859.287      687.448      429.880
      290        2.178        6.649            1      854.325      697.040      442.595
      291        2.165        6.868            0      851.370      771.138      438.394
      292        2.376        6.853            1      867.768      808.386      447.743
      293        2.100        6.713            1      861.733      755.221      438.661
      294        2.513        6.736            2      838.870      697.547      423.723
      295        2.255        7.037            2      874.749      741.015      421.860
      296        2.071        6.872            2      849.695      787.626      427.045
      297        2.242        6.988            2      861.279      806.329      443.513
      298        2.636        6.920            1      867.023      826.382      444.055
      299        2.268        6.989            1      849.402      713.979      413.501
      300        2.025        6.729            2      843.956      752.454      426.360
      301        2.285        6.752            1      841.694      718.078      418.706
      302        2.084        6.997            1      865.670      709.487      425.128
      303        2.113        6.880            1      857.489      679.432      430.526
      304        2.340        6.789            2      858.418      705.791      430.422
      305        2.173        6.956            2      863.875      667.387      439.318
      306        1.945        6.838            1      864.661      760.211      438.395
      307        2.227        6.654            1      853.926      745.386      428.167
      308        2.072        6.518            2      855.903      681.773      421.089
      309        2.241        6.634            1      860.121      726.183      432.082
      310        2.096        6.493            2      847.504      743.708      435.591
      311        2.121        6.528            0      865.129      802.974      430.270
      312        2.199        6.601            1      863.817      800.625      440.155
      313        2.945        6.615            2      869.136      814.916      437.591
      314        2.414        6.527            2      862.891      758.584      417.078
      315        2.029        6.185            1      849.666      768.731      381.063
      316        2.278        6.232            0      875.067      785.205      372.992
      317        2.463        5.988            2      819.807      731.193      350.229
      318        2.329        6.336            2      852.108      766.355      364.069
      319        2.005        6.228            1      800.288      713.065      367.180
      320        2.562        6.102            1      810.482      699.453      368.541
      321        2.529        6.165            2      810.199      688.171      349.728
      322        2.104        6.114            1      801.693      677.058      356.914
      323        2.092        6.266            1      825.771      744.493      385.797
      324        2.131        6.480            0      858.465      749.495      367.637
      325        2.070        6.131            2      813.095      732.936      348.800
      326        2.075        6.114            0      796.593      683.521      354.551
      327        2.094        6.127            2      801.684      680.640      357.876
      328        2.574        6.208            1      828.913      765.449      355.534
      329        2.079        6.213            2      833.125      686.064      356.231
      330        2.366        6.237            1      823.258      751.839      371.009
      331        2.307        6.219            1      823.951      769.804      359.232
      332        2.149        6.164            1      837.754      689.536      361.017
      333        2.115        6.137            0      809.257      706.178      343.013
      334        2.820        6.143            1      831.747      715.575      350.657
      335        2.265        6.107            1      809.350      692.819      355.003
      336        2.103        6.239            1      828.471      720.549      354.424
      337        2.566        6.130            2      821.747      724.447      349.476
      338        2.561        6.127            2      826.725      775.068      365.406
      339        2.286        6.222            1      826.566      721.840      379.684
      340        2.487        6.526            1      849.565      863.366      397.131
      341        2.335        6.197            1      808.288      720.946      373.041
      342        2.532        6.289            2      833.411      755.686      362.634
      343        2.246        6.315            1      823.458      733.787      374.943
      344        2.101        6.149            1      818.516      775.700      364.272
      345        2.371        6.405            0      839.628      758.396      386.408
      346        2.405        6.244            2      812.505      686.341      372.209
      347        2.758        6.258            2      837.256      759.342      351.096
      348        2.404        6.173            0      844.257      752.002      369.049
      349        2.644        6.220            0      816.971      733.513      359.258
      350        2.542        6.303            0      840.639      761.470      363.746
      351        2.528        6.185            0      830.513      770.401      363.796
      352        2.745        6.534            1      853.569      794.916      394.318
      353        3.087        6.677            1      879.914      823.135      384.180
      354        2.781        6.924            1      897.977      805.879      386.022
      355        3.480        6.581            1      869.087      831.992      370.899
      356        3.447        6.455            1      866.728      743.432      360.326
      357        4.339        6.276            1      848.026      698.577      367.129
      358        3.820        6.502            0      890.155      757.396      364.782
      359        4.503        6.693            0      864.799      716.550      398.550
      360        4.689        6.587            2      855.387      682.472      368.190
      361        4.928        6.896            0      883.279      687.329      365.868
      362        4.642        7.190            1      887.334      721.589      378.382
      363        4.253        6.756            0      891.504      741.599      365.657
      364        4.282        6.608            0      867.719      751.418      389.708
      365        3.512        6.265            1      838.391      725.236      365.970
      366        3.856        6.226            2      821.014      679.669      342.126
      367        2.678        6.431            1      829.290      683.331      385.371
      368        3.014        6.450            1      880.722      683.582      407.560
      369        3.380        6.787            0      891.044      694.053      388.040
      370        3.245        6.777            0      877.178      726.518      408.467
      371        3.245        6.723            1      878.145      701.812      375.565
      372        3.727        6.738            1      908.960      759.607      377.601
      373        3.356        6.694            0      867.853      677.668      385.251
      374        3.085        6.706            1      856.743      682.198      359.823
      375        3.352        6.609            1      864.833      699.695      382.770
      376        3.541        6.772            0      883.177      709.051      392.547
      377        4.012        6.728            1      896.112      694.616      398.450
      378        3.966        6.788            0      876.806      716.389      384.484
      379        3.675        6.873            0      867.271      771.722      402.394
      380        3.844        7.144            0      890.574      749.483      394.841
      381        3.410        6.883            0      882.631      770.416      394.708
      382        3.630        7.000            0      879.280      751.027      402.605
      383        3.615        6.947            0      882.244      689.548      388.819
      384        3.157        6.589            0      835.390      641.335      360.116
      385        3.780        6.589            1      889.212      765.827      364.050
      386        3.479        6.328            1      837.818      689.262      366.698
      387        3.239        6.609            0      893.092      760.314      393.664
      388        3.645        7.079            0      879.738      726.292      422.978
      389        3.871        6.778            1      895.595      747.266      391.452
      390        4.192        6.649            0      890.375      735.160      378.355
      391        3.972        6.297            2      861.656      721.277      368.339
      392        3.974        6.380            1      870.259      741.550      378.397
      393        3.817        6.651            1      861.458      695.812      365.930
      394        3.912        6.832            0      864.752      744.325      371.724
      395        4.082        7.085            1      869.848      747.111      381.435
      396        5.090        7.361            0      883.450      759.058      402.966
      397        5.083        7.008            0      864.995      759.255      396.061
      398        4.922        6.927            1      846.011      681.453      381.078
      399        5.036        6.771            1      870.678      712.608      378.723
      400        5.127        7.010            1      880.272      836.468      381.544
      401        4.959        7.327            0      894.626      792.224      397.479
      402        4.608        7.369            0      909.520      792.847      394.504
      403        4.916        7.145            0      853.746      775.697      357.130
      404        5.352        7.210            1      857.185      755.056      354.797
      405        5.110        7.123            0      889.995      872.651      373.244
      406        5.178        7.356            0      893.037      829.331      361.503
      407        5.170        7.516            0      903.168      771.469      397.128
      408        5.208        7.348            0      868.953      728.458      391.935
      409        5.398        7.304            0      904.852      848.054      393.996
      410        4.790        7.418            0      875.648      736.710      353.669
      411        4.509        7.572            0      889.831      830.995      415.512
      412        4.612        7.402            1      883.854      784.166      404.724
      413        4.775        7.338            0      865.345      761.909      369.982
      414        5.045        6.901            1      859.321      741.448      391.135
      415        5.045        7.066            0      875.820      844.885      380.503
      416        5.055        6.724            0      867.437      780.719      392.325
      417        4.559        6.631            1      834.598      704.124      348.595
      418        4.635        6.978            0      872.364      752.337      388.479
      419        4.445        6.862            0      863.149      811.164      381.595
      420        4.859        6.891            1      876.017      777.565      379.153
      421        4.893        7.106            0      875.352      727.217      402.232
      422        4.785        6.880            0      851.035      729.377      376.970
      423        4.635        6.969            0      848.444      703.019      397.973
      424        4.605        7.270            0      900.281      816.075      412.495
      425        4.913        6.696            0      845.842      678.220      399.347
      426        4.742        7.449            0      921.063      841.664      459.236
      427        4.751        7.381            0      907.989      823.726      418.656
      428        4.838        6.990            1      898.728      815.622      443.903
      429        5.090        6.643            1      873.423      808.690      409.062
      430        4.657        6.862            0      907.740      830.948      431.144
      431        4.645        7.078            0      919.373      787.085      458.392
      432        4.583        7.039            2      892.948      791.131      415.511
      433        4.056        6.534            1      853.715      798.282      382.862
      434        4.117        6.706            1      866.100      719.657      405.802
      435        3.995        6.627            1      857.598      707.641      407.325
      436        3.955        6.924            0      874.714      737.953      389.685
      437        4.253        7.099            0      889.890      748.299      415.419
      438        3.489        7.191            1      882.496      752.853      410.225
      439        3.709        6.904            1      906.679      770.255      410.610
      440        3.653        6.868            1      888.824      827.665      427.496
      441        4.150        6.251            1      850.071      748.582      379.894
      442        3.824        7.373            0      897.490      813.624      435.593
      443        3.902        7.001            2      908.223      812.817      361.297
      444        3.778        6.720            0      858.777      694.768      391.745
      445        3.609        7.111            1      878.083      696.936      412.012
      446        4.148        7.250            1      890.968      808.350      420.611
      447        3.903        7.136            1      889.682      830.055      411.745
      448        3.586        7.231            1      911.020      823.264      392.588
      449        4.022        7.161            2      883.613      801.082      399.769
      450        4.055        6.545            1      852.651      776.373      399.050
      451        3.937        6.389            2      851.020      762.773      354.839
      452        3.966        6.889            1      894.681      840.061      422.474
      453        3.944        6.031            2      800.907      770.597      309.763
      454        4.015        6.568            2      868.583      921.848      357.925
      455        3.595        7.118            3      868.900      859.238      405.761
      456        3.468        6.825            2      844.687      797.340      372.676
      457        3.379        6.681            1      841.434      834.781      390.725
      458        3.959        6.873            2      866.954      717.325      384.991
      459        4.291        6.707            1      874.274      744.856      446.105
      460        4.577        7.238            1      880.705      712.399      415.802
      461        4.425        7.051            1      928.253      839.334      445.080
      462        3.872        7.019            2      893.914      789.682      425.502
      463        4.578        6.866            1      912.841      795.908      445.937
      464        4.173        7.118            1      898.868      791.556      409.254
      465        4.442        7.909            1      928.075      936.769      455.991
      466        4.391        7.167            1      917.918      953.914      451.171
      467        4.510        7.088            2      869.804      767.973      412.882
      468        4.616        7.367            0      892.344      825.398      468.024
      469        3.007        7.175            0      910.442      784.361      458.845
      470        3.228        7.047            2      893.749      692.048      412.416
      471        3.376        7.054            2      905.460      757.882      408.049
      472        3.673        6.774            1      895.471      765.894      416.630
      473        3.086        6.984            1      897.333      697.087      407.772
      474        3.037        6.985            1      905.279      697.466      408.079
