## Torsion are defined with the following atomIDs:
# dihed1: ai= 19068 aj= 19028 ak= 19026 al= 19025
# dihed2: ai= 19028 aj= 19026 ak= 19025 al= 19024
# dihed3: ai= 19026 aj= 19025 ak= 19024 al= 19023
# dihed4: ai= 19025 aj= 19024 ak= 19023 al= 19019
# dihed5: ai= 19024 aj= 19023 ak= 19019 al= 19018
# dihed6: ai= 19023 aj= 19019 ak= 19018 al= 19017
# dihed7: ai= 19023 aj= 19019 ak= 19020 al= 19021
# dihed8: ai= 19019 aj= 19018 ak= 19017 al= 19030
# dihed9: ai= 19036 aj= 19031 ak= 19032 al= 19033
# dihed10: ai= 19031 aj= 19032 ak= 19033 al= 19035
# dihed11: ai= 19032 aj= 19033 ak= 19035 al= 19073
# dihed12: ai= 19016 aj= 19015 ak= 19014 al= 19013
# dihed13: ai= 19015 aj= 19014 ak= 19013 al= 19037
# dihed14: ai= 19038 aj= 19010 ak= 19009 al= 19008
# dihed15: ai= 19010 aj= 19009 ak= 19008 al= 19007
# dihed16: ai= 19009 aj= 19008 ak= 19007 al= 19006
# dihed17: ai= 19008 aj= 19007 ak= 19006 al= 19005
# dihed18: ai= 19041 aj= 19004 ak= 19003 al= 19002
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18
98  176.779    0.482 -162.211 -120.939   78.546  -93.952   73.949   -3.191   -4.138  -17.638  -14.355   16.056 -113.772  177.107 -174.171   71.758  -60.570 -177.388
99  169.444    5.384 -173.540 -123.342   62.130  -87.177   93.959    9.903   -8.786  -16.010  -13.296   19.444  -65.989  149.481 -173.239  123.537  -91.398  169.111
100 -150.493    3.379 -174.578 -128.348   96.637  -87.915   94.819   -7.310  -18.722    3.441   -6.342    5.794  -78.676   73.503  175.282 -179.679  -88.989  121.269
101  166.248   -1.748 -173.392  -98.715   73.597  -98.438   86.701   13.641   -0.326  -17.848    6.666   12.383  -78.311   70.043 -166.983 -143.461  -94.546   22.948
102  174.800   -1.274  174.338 -126.763  103.020  -81.421   93.886  -17.413   -0.345   -7.078   11.952   22.058  -89.857   60.700 -171.000 -111.500 -110.750   36.647
103 -176.604   -7.874 -156.078 -103.374   69.453  -94.693   76.194   -1.831   -9.687   -1.014   -1.605   26.320  -85.468   61.847 -160.477 -143.952  -93.820    6.395
104 -173.465   -3.319  177.356 -125.886  101.691  -94.780   81.679  -14.761  -20.394   14.632   -6.746   31.398  -97.021   82.024 -175.396 -172.923  -92.332   14.116
105  174.104   10.203  175.880 -129.254   77.497  -83.072   93.325    5.355   15.037   -3.247   -6.203    5.529  -77.395   74.642 -172.303 -130.416 -120.094   34.643
106 -167.503  -12.595 -176.928 -112.099   78.677 -108.846   93.738   30.304  -26.444    2.020   20.301    5.312  -82.280   61.396  179.034 -122.006 -118.391   -3.137
107  178.832    5.829 -167.198 -126.530   77.210  -84.954  -28.095  -16.113  -15.968   -3.243   13.506   54.993 -106.616   71.706 -175.048 -166.464  -98.834   10.762
108  159.145    1.505 -179.529 -130.282   76.637  -92.865   59.813   -0.657   -4.976   -7.215    8.217   38.813  -90.829   69.691 -177.717 -167.184  -74.286  160.229
109  169.889   18.923 -174.673 -117.648   72.047 -116.142   84.504   33.634  -13.336   -8.086   22.959   24.191  -87.844   64.678 -179.805  132.192  -89.273  158.037
110  166.035   10.876 -172.720 -121.163   86.955 -102.701   73.446   24.260  -16.658    5.362   21.187    5.391  -68.424   84.087  173.340  127.663  -98.118  152.531
111 -170.673   -1.249 -160.550 -102.705   66.530 -101.491   94.834   37.744    3.362  -38.771   11.144   10.621  -77.625   60.453  177.887   93.314  -95.929 -162.425
