  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      337        2.530        5.396            2      553.134      369.507      392.402
      338        2.629        5.146            1      551.540      359.924      381.750
      339        2.457        5.344            2      565.261      407.296      408.290
      340        2.501        5.346            2      567.234      400.855      399.223
      341        2.469        5.511            2      563.394      361.022      391.263
      342        2.798        5.363            2      545.017      368.826      402.470
      343        2.608        5.304            2      561.155      400.307      398.321
      344        3.083        5.005            1      524.856      317.459      356.249
      345        2.722        5.273            1      550.974      378.805      383.634
      346        2.798        5.199            2      542.845      386.940      378.147
      347        2.893        5.128            0      529.461      355.213      382.858
      348        2.761        5.283            1      546.716      356.695      378.853
      349        2.959        5.203            1      531.486      337.430      373.192
      350        3.011        4.968            2      536.362      351.743      376.194
      351        2.828        5.169            1      537.971      313.657      386.219
      352        2.712        5.111            2      544.538      348.518      393.028
      353        2.390        5.297            0      557.410      377.822      401.329
      354        1.833        5.532            1      558.867      381.564      391.529
      355        2.687        5.052            1      545.563      327.268      360.052
      356        2.958        5.114            1      531.872      335.567      370.006
      357        2.715        5.396            0      545.482      357.112      376.458
      358        2.535        5.305            2      552.963      354.960      387.629
      359        2.796        5.068            2      545.998      339.608      356.405
      360        2.802        5.277            0      541.738      359.909      359.247
      361        2.285        5.466            2      556.426      402.944      376.937
      362        2.576        5.201            2      550.322      357.454      353.146
      363        2.363        5.567            1      563.944      355.589      375.510
      364        2.469        5.620            0      561.184      354.466      353.660
      365        1.837        5.577            1      565.986      351.884      402.591
      366        1.898        5.629            0      568.317      376.104      379.566
      367        1.795        5.560            1      563.256      377.710      383.732
      368        1.819        5.703            2      568.416      377.337      405.900
      369        1.816        5.523            1      565.308      371.140      392.259
      370        2.408        7.253            2      582.014      499.154      442.558
      371        2.221        6.866            1      567.913      450.665      407.254
      372        2.525        6.639            1      575.805      458.371      415.548
      373        2.675        6.870            1      566.742      447.712      390.549
      374        2.567        6.803            1      575.434      448.473      407.257
      375        2.656        6.547            1      572.708      466.076      397.249
      376        2.374        6.523            1      573.497      457.148      401.282
      377        2.089        6.149            1      567.954      476.503      399.260
      378        1.894        6.042            1      571.211      525.402      404.862
      379        2.146        5.914            0      566.845      520.255      397.712
      380        3.684        7.268            1      580.671      500.793      423.074
      381        2.496        6.073            1      572.581      461.027      411.647
      382        3.192        4.915            2      510.579      360.249      360.089
      383        2.697        5.177            1      544.638      394.145      365.316
      384        3.310        4.835            1      500.399      343.389      373.686
      385        3.384        4.757            1      499.247      305.537      366.139
      386        3.168        4.808            2      500.960      359.903      337.404
      387        3.407        4.764            1      496.547      426.815      373.990
      388        3.498        4.742            1      499.227      457.975      367.268
      389        3.206        4.759            2      490.080      361.439      341.937
      390        3.383        4.627            1      488.146      340.044      347.847
      391        3.317        4.730            2      486.325      344.261      341.219
      392        3.303        4.751            0      492.570      376.790      352.742
      393        2.667        5.202            0      535.497      414.427      352.958
      394        3.075        4.891            2      499.990      333.752      335.291
      395        3.371        4.788            2      484.371      321.672      344.141
      396        3.277        4.803            0      487.876      292.507      331.463
      397        3.009        4.875            1      503.891      292.952      334.548
      398        2.937        4.968            0      536.874      328.207      378.320
      399        3.368        4.753            2      487.038      289.480      341.924
      400        3.314        4.789            2      487.066      304.434      333.221
      401        3.211        4.780            1      501.821      309.662      349.419
      402        3.153        4.813            2      515.273      307.094      369.939
      403        3.049        4.852            3      508.861      270.720      362.405
      404        3.048        4.896            2      520.350      318.725      367.083
      405        2.489        6.053            1      564.113      460.376      395.599
      406        2.708        6.310            1      563.586      439.627      384.246
      407        2.585        5.801            0      573.297      419.505      403.953
      408        3.163        7.053            2      563.304      410.485      389.944
      409        3.011        6.893            0      562.626      424.421      385.341
      410        3.171        6.580            2      563.724      405.889      385.592
      411        3.885        6.799            0      561.850      445.137      381.369
      412        2.933        6.283            1      560.145      330.684      381.211
      413        3.388        6.845            0      570.730      381.272      406.441
      414        2.545        6.755            1      570.944      467.267      403.827
      415        2.882        6.982            2      565.483      448.060      390.043
      416        2.416        6.493            2      575.340      439.856      408.485
      417        2.553        6.702            1      572.824      453.612      412.899
      418        2.919        6.806            2      574.487      440.995      414.432
      419        3.221        6.660            1      556.230      413.037      386.092
      420        3.019        6.646            1      572.133      446.859      395.806
      421        3.337        6.936            2      572.909      449.881      406.709
      422        3.155        6.636            1      571.113      436.835      409.044
      423        2.932        6.661            1      575.286      461.941      419.451
      424        3.450        6.977            0      570.891      478.651      408.473
      425        3.137        6.985            2      560.227      437.674      393.284
      426        3.362        7.392            2      576.017      514.889      406.857
      427        3.090        6.751            1      569.666      511.055      405.651
      428        3.080        7.285            0      571.698      498.957      397.181
      429        2.914        6.884            1      570.179      432.410      399.438
      430        3.027        6.613            1      551.023      434.324      375.398
      431        3.429        6.746            0      569.654      455.618      400.705
      432        3.657        6.945            0      566.154      442.727      397.495
      433        3.035        6.336            1      564.075      451.533      388.351
      434        3.266        6.021            0      569.443      445.232      402.471
      435        2.700        6.064            0      572.754      482.639      408.756
      436        3.263        7.003            1      567.057      503.046      403.442
      437        3.329        7.234            1      568.507      482.930      401.297
      438        2.288        6.428            1      564.252      425.294      401.645
      439        3.214        7.038            2      570.239      474.346      400.798
      440        3.033        6.735            2      570.203      510.175      407.321
      441        2.660        5.620            2      558.019      418.664      394.185
      442        3.306        6.979            2      560.688      477.677      389.745
      443        2.773        6.745            1      570.239      470.695      405.233
      444        2.958        6.992            1      565.498      469.173      398.956
      445        3.141        7.157            2      576.340      507.725      419.466
      446        2.972        7.272            1      577.035      519.841      426.556
      447        2.890        7.031            0      576.907      511.620      425.067
      448        3.428        7.456            2      574.135      572.269      417.853
      449        3.149        7.257            2      576.447      519.851      420.771
      450        2.845        6.824            1      560.175      465.263      391.853
      451        2.893        7.025            2      566.471      476.874      393.967
      452        2.913        7.284            2      569.763      524.026      424.509
      453        2.580        7.125            1      575.799      579.124      432.045
      454        2.232        7.223            1      574.260      557.281      427.692
      455        3.123        7.374            2      571.505      558.225      430.103
      456        1.787        6.013            2      577.328      562.932      433.838
      457        3.100        7.570            0      574.657      493.248      432.537
      458        3.116        7.372            2      571.419      481.430      436.666
      459        3.371        7.569            0      578.633      488.452      437.741
      460        3.163        7.382            2      577.092      491.712      428.331
      461        3.184        7.622            2      576.353      468.183      425.955
      462        3.310        7.517            0      576.119      503.311      433.505
      463        3.763        7.476            1      570.259      490.150      435.690
      464        3.462        7.695            2      578.819      480.656      436.331
      465        3.387        7.531            0      579.955      489.248      437.701
      466        3.083        7.213            2      570.931      468.068      434.293
      467        3.178        7.211            0      575.087      458.679      432.001
      468        3.138        7.532            1      578.454      467.715      431.010
      469        3.379        7.588            2      580.451      447.548      432.970
      470        3.037        7.406            1      575.920      470.867      436.981
      471        3.503        7.633            1      578.850      480.084      435.715
      472        2.578        7.370            1      571.493      480.481      430.078
      473        2.743        7.530            1      581.981      500.638      433.168
      474        3.380        7.470            1      575.106      450.449      433.587
      475        3.272        7.666            0      578.573      482.257      435.488
      476        2.952        7.563            1      579.876      499.382      429.943
      477        2.879        7.185            0      576.979      511.796      441.100
      478        3.048        7.587            2      575.800      478.788      431.207
      479        3.057        7.627            0      580.682      488.788      431.792
      480        3.212        7.652            0      580.551      476.014      432.966
      481        2.960        7.302            0      573.834      459.889      428.864
      482        2.952        7.482            1      571.294      450.356      427.177
      483        3.187        7.590            1      575.777      451.233      430.808
      484        3.198        7.507            1      577.065      469.105      440.881
      485        2.969        7.625            1      578.174      479.576      436.781
      486        3.051        7.529            1      579.761      491.949      437.670
      487        2.306        7.387            1      577.139      488.502      435.249
      488        2.187        7.206            2      575.609      484.143      420.781
      489        2.644        7.668            0      582.938      496.013      438.580
      490        2.922        7.536            2      574.392      487.269      425.257
      491        2.833        7.601            1      578.640      519.632      426.196
      492        3.177        7.565            1      579.285      493.958      433.194
      493        2.862        7.356            1      570.253      461.950      424.566
      494        3.673        7.820            2      576.613      544.393      424.755
      495        2.858        7.638            0      573.122      493.693      425.121
      496        2.985        7.337            0      573.144      482.650      427.885
      497        3.412        7.682            2      572.528      503.409      429.885
      498        2.886        7.493            1      575.394      490.040      427.802
      499        3.388        7.709            1      572.632      454.474      423.126
      500        3.094        7.638            1      572.282      531.351      422.693
      501        3.168        7.670            0      576.491      538.506      427.058
